Currency Code,Currency Description,Service Code,Service Description, Attendances ,National Average Unit Cost,Total Costs,No. Data Submissions
VB01Z,"Emergency Medicine, Any Investigation with Category 5 Treatment",T01A,Type 01 admitted,23,655.00,15065.00,1
VB01Z,"Emergency Medicine, Any Investigation with Category 5 Treatment",T01NA,Type 01 non admitted,41,642.00,26322.00,1
VB01Z,"Emergency Medicine, Any Investigation with Category 5 Treatment",T01UNK,Type 01 Unknown,19425,1140.93,22162583.65,122
VB01Z,"Emergency Medicine, Any Investigation with Category 5 Treatment",T02UNK,Type 02 Unknown,1319,143.43,189179.09,17
VB01Z,"Emergency Medicine, Any Investigation with Category 5 Treatment",T03NA,Type 03 non admitted,31,195.19,6050.89,5
VB01Z,"Emergency Medicine, Any Investigation with Category 5 Treatment",T03UNK,Type 03 Unknown,146,480.22,70111.91,23
VB02Z,"Emergency Medicine, Category 3 Investigation with Category 4 Treatment",T01A,Type 01 admitted,915,562.00,514230.00,1
VB02Z,"Emergency Medicine, Category 3 Investigation with Category 4 Treatment",T01NA,Type 01 non admitted,369,551.00,203319.00,1
VB02Z,"Emergency Medicine, Category 3 Investigation with Category 4 Treatment",T01UNK,Type 01 Unknown,355144,766.32,272153968.09,123
VB02Z,"Emergency Medicine, Category 3 Investigation with Category 4 Treatment",T02UNK,Type 02 Unknown,168,308.46,51821.19,12
VB02Z,"Emergency Medicine, Category 3 Investigation with Category 4 Treatment",T03A,Type 03 admitted,3,317.22,951.66,2
VB02Z,"Emergency Medicine, Category 3 Investigation with Category 4 Treatment",T03NA,Type 03 non admitted,65,98.17,6380.96,3
VB02Z,"Emergency Medicine, Category 3 Investigation with Category 4 Treatment",T03UNK,Type 03 Unknown,3104,603.25,1872485.52,25
VB03Z,"Emergency Medicine, Category 3 Investigation with Category 1-3 Treatment",T01A,Type 01 admitted,1728,321.00,554688.00,1
VB03Z,"Emergency Medicine, Category 3 Investigation with Category 1-3 Treatment",T01NA,Type 01 non admitted,2705,315.00,852075.00,1
VB03Z,"Emergency Medicine, Category 3 Investigation with Category 1-3 Treatment",T01UNK,Type 01 Unknown,980425,481.19,471766589.18,123
VB03Z,"Emergency Medicine, Category 3 Investigation with Category 1-3 Treatment",T02UNK,Type 02 Unknown,11521,183.51,2114263.44,18
VB03Z,"Emergency Medicine, Category 3 Investigation with Category 1-3 Treatment",T03A,Type 03 admitted,41,154.62,6339.48,2
VB03Z,"Emergency Medicine, Category 3 Investigation with Category 1-3 Treatment",T03NA,Type 03 non admitted,18849,103.05,1942316.01,9
VB03Z,"Emergency Medicine, Category 3 Investigation with Category 1-3 Treatment",T03UNK,Type 03 Unknown,16933,387.60,6563157.90,46
VB03Z,"Emergency Medicine, Category 3 Investigation with Category 1-3 Treatment",T04NA,Type 04 non admitted,878,109.68,96299.04,1
VB03Z,"Emergency Medicine, Category 3 Investigation with Category 1-3 Treatment",T04UNK,Type 04 Unknown,31,156.91,4864.26,3
VB04Z,"Emergency Medicine, Category 2 Investigation with Category 4 Treatment",T01A,Type 01 admitted,4065,482.00,1959330.00,1
VB04Z,"Emergency Medicine, Category 2 Investigation with Category 4 Treatment",T01NA,Type 01 non admitted,1396,472.00,658912.00,1
VB04Z,"Emergency Medicine, Category 2 Investigation with Category 4 Treatment",T01UNK,Type 01 Unknown,1107192,591.08,654442258.88,124
VB04Z,"Emergency Medicine, Category 2 Investigation with Category 4 Treatment",T02UNK,Type 02 Unknown,1193,207.32,247337.73,16
VB04Z,"Emergency Medicine, Category 2 Investigation with Category 4 Treatment",T03A,Type 03 admitted,26,309.16,8038.22,2
VB04Z,"Emergency Medicine, Category 2 Investigation with Category 4 Treatment",T03NA,Type 03 non admitted,1003,153.93,154389.74,9
VB04Z,"Emergency Medicine, Category 2 Investigation with Category 4 Treatment",T03UNK,Type 03 Unknown,14008,440.75,6174049.80,46
VB04Z,"Emergency Medicine, Category 2 Investigation with Category 4 Treatment",T04UNK,Type 04 Unknown,5,184.02,920.10,2
VB05Z,"Emergency Medicine, Category 2 Investigation with Category 3 Treatment",T01A,Type 01 admitted,370,344.00,127280.00,1
VB05Z,"Emergency Medicine, Category 2 Investigation with Category 3 Treatment",T01NA,Type 01 non admitted,465,337.00,156705.00,1
